Time,SG01,SG02,SG03,SG04
0.0,0.0,141.72789119229202,379.0480949095407,119.31283394827524
0.502092050209205,24.054419124697972,154.9628053464257,380.4060299127558,110.961369748531
1.00418410041841,47.961893029484045,167.23691600473342,379.4015794485263,101.92265926000474
1.506276150627615,71.57639005382005,178.4765162005192,376.0435894497352,92.25549746162865
2.00836820083682,94.75369997631077,188.61433052526098,370.3555378196317,82.02258641815509
2.510460251046025,117.35233057057434,197.58993338025647,362.3753884695566,71.29014546101787
3.01255230125523,139.23438726332031,205.35012464295758,352.1553552970616,60.12749950232489
3.514644351464435,160.2664304257953,211.84926041247294,339.7615775717743,48.60664804143517
4.01673640167364,180.32030496880984,217.04953677799236,325.27370874713495,36.80181754361001
4.518828451882845,199.2739370837493,220.92122484594262,308.78442125436595,24.788999973602948
5.02092050209205,217.01209317622383,223.44285556470896,290.39883035737313,12.64548035312772
5.523012552301255,233.42709627406327,224.60135319786696,270.23384065047685,0.44935627938347533
6.02510460251046,248.41949545574298,224.39211661611947,248.41741926179955,-11.720947608207677
6.527196652719665,261.89868413740015,222.81904790254677,225.08780028081082,-23.787167194486376
7.02928870292887,273.7834633745464,219.89452809333142,200.39262535610706,-35.67168545706142
7.531380753138075,284.0025466764255,215.6393402047767,174.48802580633645,-47.29801501183532
8.03347280334728,292.4950031945838,210.0825400251611,147.53765195079023,-58.59127363556124
8.535564853556485,299.2106365303448,203.2612754747166,119.71165569431943,-69.4786498091048
9.03765690376569,304.1102968061419,195.22055565677059,91.18563269185212,-79.88985538712497
9.539748953974895,307.16612406055765,186.0129710358616,62.139530669081,-89.75756257992425
10.0418410041841,308.3617214538827,175.698366482485,32.75653068630091,-99.0178225307482
10.543933054393305,307.6922572073731,164.34346921714928,3.2219083005824514,-107.61046288623801
11.04602510460251,305.16449464245,152.0214739668186,-26.27811829355319,-115.47946188833673
11.548117154811715,300.79675013308685,138.81158791282647,-55.5575459838426,-122.5732966619178
12.05020920502092,294.61877923279474,124.79853825932167,-84.43174312282153,-128.84526353283047
12.552301255230125,286.6715916841562,110.07204548369732,-112.7185973839592,-134.25376838494066
13.05439330543933,277.00719646099253,94.72626554380805,-140.23964795515977,-138.76258525101764
13.556485355648535,265.68827842824,78.8592045097767,-166.82119503077456,-142.3410815298045
14.05857740585774,252.78780862974335,62.57210925962839,-192.29537970440668,-144.9644084290965
14.560669456066945,238.38859062680854,45.968838026801144,-216.50122754880746,-146.613655450841
15.06276150627615,222.5827457079314,29.15521471284334,-239.28564939492227,-147.27596795782569
15.564853556485355,205.47114017015667,12.238370979538779,-260.5043930882358,-146.94462709103993
16.06694560669456,187.16275823266395,-4.673919789318944,-280.02294030533983,-145.61909154086447
16.569037656903767,167.774024481177,-21.473912515746925,-297.71734285521273,-143.30500091239688
17.07112970711297,147.4280800555704,-38.05456027941004,-313.47499326591713,-140.0141406639906
17.573221757322173,126.25401708061216,-54.31017982901341,-327.195324865974,-135.76436883698443
18.07531380753138,104.38607609939777,-70.13710861575079,-338.7904370080043,-130.57950503214562
18.577405857740587,81.96281149903363,-85.43434926403559,-348.18564154761617,-124.48918232305893
19.07949790794979,59.126230117124905,-100.10419747283194,-355.3199271800776,-117.52866302711863
19.581589958158993,36.02090838435525,-114.05284944391998,-360.1463387479888,-109.73861947947482
