iteration,temperature_c,target_temperature_c,viscosity_cst,rolling_torque_nmm,sliding_torque_nmm,seal_torque_nmm,drag_torque_nmm,total_torque_nmm,power_loss_w,delta_temperature_c
1.0,85.0,132.80472563158412,10.089597282096278,163.5454004585483,131.51686261532268,0.0,97.92983524897646,392.9920983228475,493.84843560395814,31.073071660529678
2.0,116.07307166052968,126.11861220103202,5.151439115943492,122.6308474084544,131.58142678584687,0.0,96.64605677898456,350.85833097328583,440.9015820145804,6.529601351326519
3.0,122.6026730118562,125.07871326535579,4.584032259709618,116.07511681298746,131.7310411961411,0.0,96.52108254778835,344.3272405569169,432.6943717457823,1.6094261647747317
4.0,124.21209917663093,124.84179204508561,4.458852670095655,114.55170167510578,131.79377482792324,0.0,96.49426820699071,342.8397447100198,430.8251293358393,0.4093003644955502
5.0,124.62139954112648,124.78279506410625,4.427855458074728,114.16985569717741,131.81183180946118,0.0,96.48767203842931,342.4693595450679,430.35968961055477,0.10490708993685871
6.0,124.72630663106334,124.76775624303266,4.4199640079771445,114.07234570847059,131.81660549148725,0.0,96.48599553574942,342.3749467357072,430.24104697523785,0.02694224778005605
7.0,124.7532488788434,124.7638994217358,4.417940819778245,114.04732684500716,131.81784119219677,0.0,96.48556590121215,342.3507339384161,430.2106202768008,0.0069228528800664435
8.0,124.76017173172346,124.76290876531806,4.417421188673257,114.04089976911659,131.81815935152156,0.0,96.48545556687782,342.344514687516,430.2028049356253,0.0017790718364949498
9.0,124.76195080355996,124.7626542048894,4.4172876662872325,114.03924820772659,131.81824115638238,0.0,96.48542721659109,342.34291658070003,430.2007966953723,0.0004572108641411887
10.0,124.7624080144241,124.76258878594547,4.417253352833249,114.03882377309165,131.81826218255662,0.0,96.48541993100189,342.34250588665014,430.20028060200826,0.00011750148888722833
11.0,124.76252551591298,124.76257197362426,4.417244534469688,114.03871469542085,131.81826758639085,0.0,96.48541805865014,342.34240034046184,430.20014796875637,3.019751233068746e-05
